P,7,2,4,14,44,32,30,9,8
IT,3,treasure,Gem,0,0
IT,1,treasure,Gem,0,0
R,0,0,1,1,0,0
R,1,0,0,1,0,0
R,2,0,0,1,0,0
R,3,0,0,1,0,0
R,4,0,0,1,0,0
R,5,0,0,1,0,0
R,6,0,0,1,0,0
R,7,0,2,1,0,0
R,0,1,0,0,0,0
R,1,1,0,1,0,0
R,2,1,0,1,0,0
R,3,1,0,1,0,0
R,4,1,0,1,0,0
R,5,1,0,1,0,0
R,6,1,3,1,0,0
R,7,1,2,1,0,0
R,0,2,2,0,1,0
EN,goblin,1,12,12,3,1,0
R,1,2,3,1,0,0
R,2,2,0,1,0,0
R,3,2,2,1,0,0
R,4,2,3,1,0,0
R,5,2,2,1,0,0
R,6,2,2,0,1,0
EN,troll,2,17,17,6,1,0
R,7,2,2,1,1,0
EN,orc,3,21,11,6,1,0
R,0,3,0,0,0,0
R,1,3,0,1,0,0
R,2,3,0,1,0,0
R,3,3,0,1,0,0
R,4,3,3,0,0,1
RI,4,potion,Potion,10,0
R,5,3,0,1,0,0
R,6,3,2,0,1,0
EN,orc,3,20,20,6,1,0
R,7,3,2,0,1,0
EN,orc,3,20,20,7,1,0
R,0,4,2,1,0,0
R,1,4,0,1,0,0
R,2,4,0,1,0,0
R,3,4,0,1,0,0
R,4,4,0,1,0,0
R,5,4,0,1,0,0
R,6,4,2,0,1,0
EN,goblin,3,19,19,6,1,0
R,7,4,2,0,1,0
EN,troll,3,22,22,7,1,0
R,0,5,0,0,0,0
R,1,5,0,1,0,0
R,2,5,0,1,0,0
R,3,5,2,1,0,0
R,4,5,2,1,0,0
R,5,5,0,0,0,0
R,6,5,3,0,0,1
RI,5,weapon,Steel Sword,0,4
R,7,5,0,0,0,0
R,0,6,2,0,1,0
EN,orc,2,17,17,6,1,0
R,1,6,0,1,0,0
R,2,6,0,1,0,0
R,3,6,0,1,0,0
R,4,6,2,1,0,0
R,5,6,0,0,0,0
R,6,6,3,0,0,1
RI,6,weapon,Steel Sword,0,5
R,7,6,0,0,0,0
R,0,7,0,0,0,0
R,1,7,0,0,0,0
R,2,7,0,0,0,0
R,3,7,0,1,0,0
R,4,7,2,1,0,0
R,5,7,0,0,0,0
R,6,7,3,0,0,1
RI,7,potion,Potion,14,0
R,7,7,4,0,1,0
EN,boss,7,60,60,11,1,0
